"month","year","day_type","entry_station","exit_station","avg_trips","date"
9,2013,"Weekday","12","FM",388.85,2013-09-01
9,2013,"Weekday","12","CN",329.25,2013-09-01
9,2013,"Weekday","12","PH",325.55,2013-09-01
9,2013,"Weekday","12","WC",286.05,2013-09-01
9,2013,"Weekday","12","LF",167.6,2013-09-01
9,2013,"Weekday","12","OR",114.95,2013-09-01
9,2013,"Weekday","12","RR",216.9,2013-09-01
9,2013,"Weekday","12","OW",115.05,2013-09-01
9,2013,"Weekday","12","EM",1464.75,2013-09-01
9,2013,"Weekday","12","MT",1145.45,2013-09-01
9,2013,"Weekday","12","PL",881.45,2013-09-01
9,2013,"Weekday","12","CC",678.45,2013-09-01
9,2013,"Weekday","12","16",297,2013-09-01
9,2013,"Weekday","12","24",282.95,2013-09-01
9,2013,"Weekday","12","GP",160.05,2013-09-01
9,2013,"Weekday","12","BP",169.7,2013-09-01
9,2013,"Weekday","12","DC",211.5,2013-09-01
9,2013,"Weekday","12","CM",104.6,2013-09-01
9,2013,"Weekday","12","CV",110.1,2013-09-01
9,2013,"Weekday","12","ED",231.5,2013-09-01
9,2013,"Weekday","12","NC",155.4,2013-09-01
9,2013,"Weekday","12","WP",326.3,2013-09-01
9,2013,"Weekday","12","SS",78.2,2013-09-01
9,2013,"Weekday","12","SB",81.1,2013-09-01
9,2013,"Weekday","12","SO",121.95,2013-09-01
9,2013,"Weekday","12","MB",129.7,2013-09-01
9,2013,"Weekday","12","WD",123.25,2013-09-01
9,2013,"Weekday","LM","RM",66.2,2013-09-01
9,2013,"Weekday","LM","EN",156.7,2013-09-01
9,2013,"Weekday","LM","EP",89.95,2013-09-01
9,2013,"Weekday","LM","NB",77.4,2013-09-01
9,2013,"Weekday","LM","BK",336.5,2013-09-01
9,2013,"Weekday","LM","AS",99.3,2013-09-01
9,2013,"Weekday","LM","MA",111.65,2013-09-01
9,2013,"Weekday","LM","19",54.4,2013-09-01
9,2013,"Weekday","LM","12",61.2,2013-09-01
9,2013,"Weekday","LM","LM",14.25,2013-09-01
9,2013,"Weekday","LM","FV",201.1,2013-09-01
9,2013,"Weekday","LM","CL",319.3,2013-09-01
9,2013,"Weekday","LM","SL",298.05,2013-09-01
9,2013,"Weekday","LM","BF",283.75,2013-09-01
9,2013,"Weekday","LM","HY",182.75,2013-09-01
9,2013,"Weekday","LM","SH",103.75,2013-09-01
9,2013,"Weekday","LM","UC",125.3,2013-09-01
9,2013,"Weekday","LM","FM",192.85,2013-09-01
9,2013,"Weekday","LM","CN",34.7,2013-09-01
9,2013,"Weekday","LM","PH",34.75,2013-09-01
9,2013,"Weekday","LM","WC",40.9,2013-09-01
9,2013,"Weekday","LM","LF",14.35,2013-09-01
9,2013,"Weekday","LM","OR",9.95,2013-09-01
9,2013,"Weekday","LM","RR",39.6,2013-09-01
9,2013,"Weekday","LM","OW",54.85,2013-09-01
9,2013,"Weekday","LM","EM",952.8,2013-09-01
9,2013,"Weekday","LM","MT",849.65,2013-09-01
9,2013,"Weekday","LM","PL",550.8,2013-09-01
9,2013,"Weekday","LM","CC",471.45,2013-09-01
9,2013,"Weekday","LM","16",201.95,2013-09-01
9,2013,"Weekday","LM","24",131.65,2013-09-01
9,2013,"Weekday","LM","GP",56.6,2013-09-01
9,2013,"Weekday","LM","BP",105.15,2013-09-01
9,2013,"Weekday","LM","DC",175.2,2013-09-01
9,2013,"Weekday","LM","CM",9.85,2013-09-01
9,2013,"Weekday","LM","CV",107.2,2013-09-01
9,2013,"Weekday","LM","ED",178.15,2013-09-01
9,2013,"Weekday","LM","NC",16.4,2013-09-01
9,2013,"Weekday","LM","WP",55.45,2013-09-01
9,2013,"Weekday","LM","SS",9.65,2013-09-01
9,2013,"Weekday","LM","SB",14.85,2013-09-01
9,2013,"Weekday","LM","SO",38,2013-09-01
9,2013,"Weekday","LM","MB",22.75,2013-09-01
9,2013,"Weekday","LM","WD",77.4,2013-09-01
9,2013,"Weekday","FV","RM",108.9,2013-09-01
9,2013,"Weekday","FV","EN",163.65,2013-09-01
9,2013,"Weekday","FV","EP",66.15,2013-09-01
9,2013,"Weekday","FV","NB",85,2013-09-01
9,2013,"Weekday","FV","BK",360.1,2013-09-01
9,2013,"Weekday","FV","AS",123.5,2013-09-01
9,2013,"Weekday","FV","MA",211.7,2013-09-01
9,2013,"Weekday","FV","19",186.1,2013-09-01
9,2013,"Weekday","FV","12",236.45,2013-09-01
9,2013,"Weekday","FV","LM",197.8,2013-09-01
9,2013,"Weekday","FV","FV",17.1,2013-09-01
9,2013,"Weekday","FV","CL",358.55,2013-09-01
9,2013,"Weekday","FV","SL",276.9,2013-09-01
9,2013,"Weekday","FV","BF",299.9,2013-09-01
9,2013,"Weekday","FV","HY",278.35,2013-09-01
9,2013,"Weekday","FV","SH",106.95,2013-09-01
9,2013,"Weekday","FV","UC",103.1,2013-09-01
9,2013,"Weekday","FV","FM",173.15,2013-09-01
9,2013,"Weekday","FV","CN",59.45,2013-09-01
9,2013,"Weekday","FV","PH",34,2013-09-01
9,2013,"Weekday","FV","WC",49.6,2013-09-01
9,2013,"Weekday","FV","LF",25.4,2013-09-01
9,2013,"Weekday","FV","OR",36.1,2013-09-01
9,2013,"Weekday","FV","RR",58.45,2013-09-01
9,2013,"Weekday","FV","OW",131.65,2013-09-01
9,2013,"Weekday","FV","EM",1037.35,2013-09-01
9,2013,"Weekday","FV","MT",961.05,2013-09-01
9,2013,"Weekday","FV","PL",737.55,2013-09-01
9,2013,"Weekday","FV","CC",707,2013-09-01
9,2013,"Weekday","FV","16",255.8,2013-09-01
9,2013,"Weekday","FV","24",217.25,2013-09-01
9,2013,"Weekday","FV","GP",64.75,2013-09-01
9,2013,"Weekday","FV","BP",120.55,2013-09-01
9,2013,"Weekday","FV","DC",217.95,2013-09-01
9,2013,"Weekday","FV","CM",14.8,2013-09-01
9,2013,"Weekday","FV","CV",70.8,2013-09-01
9,2013,"Weekday","FV","ED",140.85,2013-09-01
9,2013,"Weekday","FV","NC",12.6,2013-09-01
9,2013,"Weekday","FV","WP",67.25,2013-09-01
9,2013,"Weekday","FV","SS",10.95,2013-09-01
9,2013,"Weekday","FV","SB",35.6,2013-09-01
9,2013,"Weekday","FV","SO",59,2013-09-01
9,2013,"Weekday","FV","MB",36.55,2013-09-01
9,2013,"Weekday","FV","WD",60.75,2013-09-01
9,2013,"Weekday","CL","RM",96.6,2013-09-01
9,2013,"Weekday","CL","EN",188.9,2013-09-01
9,2013,"Weekday","CL","EP",87.6,2013-09-01
9,2013,"Weekday","CL","NB",99.75,2013-09-01
9,2013,"Weekday","CL","BK",295.75,2013-09-01
